sample_id,target,aspector,angle_deg,nature,nature_reason,base_virupa,special_bonus_virupa,gross_virupa,raw_signed_virupa,normalized_signed_virupa
case_103_event_start,SATURN,JUPITER,274.81,benefic,Jupiter and Venus are treated as natural benefics.,12.59,0.0,12.59,12.59,3.1475
case_103_event_start,SATURN,VENUS,348.84,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,SUN,MOON,338.23,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,SUN,MARS,288.29,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",5.85,0.0,5.85,-5.85,-1.4625
case_127_sr_touch_start,SUN,MERCURY,1.84,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,SUN,JUPITER,340.33,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,SUN,VENUS,45.81,benefic,Jupiter and Venus are treated as natural benefics.,7.91,0.0,7.91,7.91,1.9775
case_127_sr_touch_start,SUN,SATURN,67.33,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",22.33,45.0,67.33,-67.33,-16.8325
case_127_sr_touch_start,MOON,SUN,21.77,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MOON,MARS,310.06,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MOON,MERCURY,23.61,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MOON,JUPITER,2.10,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MOON,VENUS,67.57,benefic,Jupiter and Venus are treated as natural benefics.,22.57,0.0,22.57,22.57,5.6425
case_127_sr_touch_start,MOON,SATURN,89.10,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",44.1,45.0,89.1,-89.1,-22.275
case_127_sr_touch_start,MARS,SUN,71.71,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",26.71,0.0,26.71,-26.71,-6.6775
case_127_sr_touch_start,MARS,MOON,49.94,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,9.97,0.0,9.97,9.97,2.4925
case_127_sr_touch_start,MARS,MERCURY,73.55,malefic,Mercury shares its sign with more malefics than benefics.,28.55,0.0,28.55,-28.55,-7.1375
case_127_sr_touch_start,MARS,JUPITER,52.04,benefic,Jupiter and Venus are treated as natural benefics.,11.02,0.0,11.02,11.02,2.755
case_127_sr_touch_start,MARS,VENUS,117.52,benefic,Jupiter and Venus are treated as natural benefics.,31.24,0.0,31.24,31.24,7.81
case_127_sr_touch_start,MARS,SATURN,139.04,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",10.96,0.0,10.96,-10.96,-2.74
case_127_sr_touch_start,MERCURY,SUN,358.16,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MERCURY,MOON,336.39,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MERCURY,MARS,286.45,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",6.78,0.0,6.78,-6.78,-1.695
case_127_sr_touch_start,MERCURY,JUPITER,338.49,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,MERCURY,VENUS,43.97,benefic,Jupiter and Venus are treated as natural benefics.,6.98,0.0,6.98,6.98,1.745
case_127_sr_touch_start,MERCURY,SATURN,65.49,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",20.49,45.0,65.49,-65.49,-16.3725
case_127_sr_touch_start,JUPITER,SUN,19.67,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,JUPITER,MOON,357.90,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,JUPITER,MARS,307.96,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,JUPITER,MERCURY,21.51,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,JUPITER,VENUS,65.47,benefic,Jupiter and Venus are treated as natural benefics.,20.47,0.0,20.47,20.47,5.1175
case_127_sr_touch_start,JUPITER,SATURN,87.00,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",42.0,45.0,87.0,-87.0,-21.75
case_127_sr_touch_start,VENUS,SUN,314.19,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,VENUS,MOON,292.43,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,3.78,0.0,3.78,3.78,0.945
case_127_sr_touch_start,VENUS,MARS,242.48,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",28.76,0.0,28.76,-28.76,-7.19
case_127_sr_touch_start,VENUS,MERCURY,316.03,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,VENUS,JUPITER,294.53,benefic,Jupiter and Venus are treated as natural benefics.,2.74,0.0,2.74,2.74,0.685
case_127_sr_touch_start,VENUS,SATURN,21.53,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
case_127_sr_touch_start,SATURN,SUN,292.67,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",3.66,0.0,3.66,-3.66,-0.915
case_127_sr_touch_start,SATURN,MOON,270.90,benefic,Moon is waxing; Sun-to-Moon elongation is 21.77 degrees.,14.55,0.0,14.55,14.55,3.6375
case_127_sr_touch_start,SATURN,MARS,220.96,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",39.52,15.0,54.52,-54.52,-13.63
case_127_sr_touch_start,SATURN,MERCURY,294.51,malefic,Mercury shares its sign with more malefics than benefics.,2.75,0.0,2.75,-2.75,-0.6875
case_127_sr_touch_start,SATURN,JUPITER,273.00,benefic,Jupiter and Venus are treated as natural benefics.,13.5,0.0,13.5,13.5,3.375
case_127_sr_touch_start,SATURN,VENUS,338.47,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,SUN,MOON,240.19,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,29.91,0.0,29.91,29.91,7.4775
gann_reference_tokyo,SUN,MARS,327.28,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,SUN,MERCURY,351.11,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,SUN,JUPITER,51.28,benefic,Jupiter and Venus are treated as natural benefics.,10.64,0.0,10.64,10.64,2.66
gann_reference_tokyo,SUN,VENUS,313.59,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,SUN,SATURN,185.64,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",57.18,0.0,57.18,-57.18,-14.295
gann_reference_tokyo,MOON,SUN,119.81,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",30.09,0.0,30.09,-30.09,-7.5225
gann_reference_tokyo,MOON,MARS,87.09,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",42.09,0.0,42.09,-42.09,-10.5225
gann_reference_tokyo,MOON,MERCURY,110.93,malefic,Mercury shares its sign with more malefics than benefics.,34.53,0.0,34.53,-34.53,-8.6325
gann_reference_tokyo,MOON,JUPITER,171.09,benefic,Jupiter and Venus are treated as natural benefics.,42.18,0.0,42.18,42.18,10.545
gann_reference_tokyo,MOON,VENUS,73.41,benefic,Jupiter and Venus are treated as natural benefics.,28.41,0.0,28.41,28.41,7.1025
gann_reference_tokyo,MOON,SATURN,305.45,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,MARS,SUN,32.72,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",1.36,0.0,1.36,-1.36,-0.34
gann_reference_tokyo,MARS,MOON,272.91,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,13.54,0.0,13.54,13.54,3.385
gann_reference_tokyo,MARS,MERCURY,23.84,malefic,Mercury shares its sign with more malefics than benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,MARS,JUPITER,84.00,benefic,Jupiter and Venus are treated as natural benefics.,39.0,0.0,39.0,39.0,9.75
gann_reference_tokyo,MARS,VENUS,346.32,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,MARS,SATURN,218.36,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",40.82,0.0,40.82,-40.82,-10.205
gann_reference_tokyo,MERCURY,SUN,8.89,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
