sample_id,planet,component,local_value_virupa,external_value_virupa,signed_delta_virupa,absolute_delta_virupa,tolerance_virupa,pass_fail,external_source
case_103_event_start,VENUS,naisargika,42.860000000,42.860000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,VENUS,sthana,356.876219437,229.380000000,127.496219437,127.496219437,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,chesta,30.000000000,7.210000000,22.790000000,22.790000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,dig,32.819451087,32.820000000,-0.000548913,0.000548913,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,drik,-16.630000000,-16.630000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,kaala,180.337926226,156.490000000,23.847926226,23.847926226,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,naisargika,34.290000000,34.290000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,JUPITER,sthana,339.831564126,237.330000000,102.501564126,102.501564126,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MARS,chesta,7.500000000,30.670000000,-23.170000000,23.170000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MARS,dig,15.327850922,15.330000000,-0.002149078,0.002149078,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
