sample_id,planet,planet_longitude_deg,chesta_true_longitude_deg,ascendant_longitude_deg,classical_longitudes_json,mean_sun_longitude_deg,mean_planet_longitude_deg,seegrocha_longitude_deg,mean_true_midpoint_linear_deg,reduced_chesta_kendra_deg,external_chesta_virupa,source
case_103_event_start,SATURN,336.474052430285,336.474052430285,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",28.830539623115,333.077820808333,28.830539623115,334.775936619309,305.945396996194,101.980000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,SUN,44.832851078471,44.832851078471,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,MOON,66.595737946018,66.595737946018,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,MARS,116.542431280801,116.542431280801,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",41.622806289626,150.707686785473,41.622806289626,133.625059033137,92.002252743511,30.670000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,MERCURY,43.003638266539,43.003638266539,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",41.622806289626,53.969778535466,53.969778535466,42.313222278082,11.656556257383,3.890000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,JUPITER,64.502186487644,64.502186487644,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",41.622806289626,62.021688822210,41.622806289626,63.261937654927,21.639131365301,7.210000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,VENUS,359.024357176405,359.024357176405,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",41.622806289626,267.801276444192,267.801276444192,200.323581733016,67.477694711176,22.490000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_127_sr_touch_start,SATURN,337.496774896410,337.496774896410,342.953045639912,"{""JUPITER"":64.50218648764381,""MARS"":116.54243128080066,""MERCURY"":43.003638266538644,""MOON"":66.59573794601829,""SATURN"":337.49677489641044,""SUN"":44.83285107847122,""VENUS"":359.02435717640503}",41.622806289626,333.507195808329,41.622806289626,335.501985352370,293.879179062743,97.960000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,SUN,301.278888037390,301.278888037390,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,MOON,61.087996005115,61.087996005115,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,MARS,334.007268908748,334.007268908748,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",298.536939623111,186.652646547778,298.536939623111,260.329957728263,38.206981894848,12.740000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,MERCURY,310.155250847050,310.155250847050,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",298.536939623111,12.157768130556,12.157768130556,304.346095235080,292.188327104524,97.400000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,JUPITER,250.002277378684,250.002277378684,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",298.536939623111,276.067844511111,298.536939623111,263.035060944898,35.501878678213,11.830000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,VENUS,347.682829140499,347.682829140499,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",298.536939623111,88.303990222222,88.303990222222,323.109884381805,234.805894159582,78.270000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
gann_reference_tokyo,SATURN,115.633742692361,115.633742692361,204.823913242046,"{""JUPITER"":250.00227737868445,""MARS"":334.00726890874785,""MERCURY"":310.1552508470495,""MOON"":61.087996005114704,""SATURN"":115.63374269236112,""SUN"":301.2788880373897,""VENUS"":347.6828291404989}",298.536939623111,212.714304191667,298.536939623111,164.174023442014,134.362916181097,44.790000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
