contract,sample_id,planet,sthana_subcomponent,jhora_value_virupa,tolerance_virupa,jhora_evidence_path,jhora_evidence_sha256,source_profile_id,source_value_virupa,source_signed_delta_virupa,source_absolute_delta_virupa,source_pass_fail,pyjhora_profile_id,pyjhora_value_virupa,pyjhora_signed_delta_virupa,pyjhora_absolute_delta_virupa,pyjhora_pass_fail,jhora_visible_profile_id,jhora_visible_value_virupa,jhora_visible_signed_delta_virupa,jhora_visible_absolute_delta_virupa,jhora_visible_pass_fail,nearest_profile
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,VENUS,ojayugma,15.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,15.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,15.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,15.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,VENUS,saptavargaja,97.500000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,105.000000000,7.500000000,7.500000000,fail,pyjhora_4_8_7_compatibility,97.500000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,97.500000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,VENUS,uchcha,56.880000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,56.876222896,-0.003777104,0.003777104,pass,pyjhora_4_8_7_compatibility,56.876222896,-0.003777104,0.003777104,pass,jhora_8_visible_compatibility,56.876222896,-0.003777104,0.003777104,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,JUPITER,drekkana,15.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,15.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,15.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,15.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,JUPITER,kendradi,60.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,60.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,60.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,60.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,JUPITER,ojayugma,15.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,15.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,15.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,15.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,JUPITER,saptavargaja,97.500000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,100.000000000,2.500000000,2.500000000,fail,pyjhora_4_8_7_compatibility,97.500000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,97.500000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,JUPITER,uchcha,49.830000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,49.831541467,0.001541467,0.001541467,pass,pyjhora_4_8_7_compatibility,49.831541467,0.001541467,0.001541467,pass,jhora_8_visible_compatibility,49.831541467,0.001541467,0.001541467,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,MARS,drekkana,0.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,0.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,0.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,0.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_127_sr_touch_start,MARS,kendradi,30.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_127_sr_touch_start_visible_sthana_subcomponents.jpg,DDC8EEDBA5A5C7F6EB481B7DF89A4CB2C4C81077CFA8F0CA6A778129E4ADBE8B,bphs_ch27_source,30.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,30.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,30.000000000,0.000000000,0.000000000,pass,tie
