sample_id,target,aspector,angle_deg,nature,gross_virupa,raw_signed_virupa,normalized_signed_virupa,source
case_43_event_start,JUPITER,SATURN,81.60,malefic,81.60,-81.60,-20.400000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,SUN,341.97,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,MOON,267.38,benefic,16.31,16.31,4.077500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,MARS,241.76,malefic,29.12,-29.12,-7.280000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,MERCURY,358.91,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,JUPITER,279.89,benefic,10.06,10.06,2.515000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,VENUS,SATURN,1.48,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,SUN,340.48,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,MOON,265.90,benefic,17.05,17.05,4.262500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,MARS,240.27,malefic,29.86,-29.86,-7.465000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,MERCURY,357.42,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,JUPITER,278.40,benefic,10.80,10.80,2.700000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SATURN,VENUS,358.52,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,MOON,146.63,malefic,3.37,-3.37,-0.842500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,MARS,282.46,malefic,8.77,-8.77,-2.192500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,MERCURY,15.91,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,JUPITER,330.68,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,VENUS,44.72,benefic,7.36,7.36,1.840000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SUN,SATURN,55.87,malefic,12.93,-12.93,-3.232500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,SUN,213.37,malefic,43.31,-43.31,-10.827500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,MARS,135.83,malefic,14.17,-14.17,-3.542500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,MERCURY,229.28,benefic,35.36,35.36,8.840000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,JUPITER,184.05,benefic,57.97,57.97,14.492500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,VENUS,258.09,benefic,20.96,20.96,5.240000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MOON,SATURN,269.25,malefic,15.38,-15.38,-3.845000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,SUN,77.54,malefic,32.54,-32.54,-8.135000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,MOON,224.17,malefic,37.92,-37.92,-9.480000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,MERCURY,93.45,benefic,43.27,43.27,10.817500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,JUPITER,48.22,benefic,9.11,9.11,2.277500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,VENUS,122.25,benefic,27.75,27.75,6.937500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MARS,SATURN,133.41,malefic,16.59,-16.59,-4.147500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,SUN,344.09,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,MOON,130.72,malefic,19.28,-19.28,-4.820000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,MARS,266.55,malefic,16.72,-16.72,-4.180000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,JUPITER,314.77,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,VENUS,28.80,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,MERCURY,SATURN,39.96,malefic,4.98,-4.98,-1.245000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,SUN,29.32,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,MOON,175.95,malefic,51.90,-51.90,-12.975000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,MARS,311.78,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,MERCURY,45.23,benefic,7.61,7.61,1.902500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,VENUS,74.04,benefic,29.04,29.04,7.260000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,JUPITER,SATURN,85.19,malefic,85.19,-85.19,-21.297500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,SUN,315.28,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,MOON,101.91,malefic,39.05,-39.05,-9.762500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,MARS,237.75,malefic,46.12,-46.12,-11.530000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,MERCURY,331.20,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,JUPITER,285.96,benefic,7.02,7.02,1.755000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,VENUS,SATURN,11.16,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,SUN,304.13,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,MOON,90.75,malefic,44.62,-44.62,-11.155000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,MARS,226.59,malefic,51.70,-51.70,-12.925000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,MERCURY,320.04,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,JUPITER,274.81,benefic,12.59,12.59,3.147500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_103_event_start,SATURN,VENUS,348.84,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_127_sr_touch_start,SUN,MOON,338.24,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_127_sr_touch_start,SUN,MARS,288.29,malefic,5.85,-5.85,-1.462500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
